Name,Book,Feat Type,Bonus Feat?,Prerequisites,Description
Boost Spell-Like Ability,BoVD 47,General,No,none," +2 to DC of ability, can be used up to 3x/day not exceeding normal usage limit"
Boost Spell Resistance,BoVD 47,General,No,Any evil alignment, +2 profane bonus to his existing spell resistance score
Corrupt Spell-Like Ability,BoVD 48,General,No,Any evil alignment,Adds the evil descriptor to spell; half of the ability's damage (if any) is unholy. Up to 3x/day
Empower Spell-Like Ability,BoVD 49,General,No,none,"All variable, numeric effects of an empowered spell-like ability are increased by one-half"
Malign Spell Focus,BoVD 49,General,No,Any evil alignment,Add +2 to the DC for all saving throws against any of the character’s spells that have the evil descriptor
Mortalbane,BoVD 49,General,No,none,"Add 2d6 dam to spell-like ability vs living nonoutsiders, but half dam vs outsiders, undead, and constructs, 5x/day"
Poison Immunity,BoVD 49,General,No,none,Immune to one specific poison; +1 circumstance bonus on saving throws against other poisons
Quicken Spell-Like Ability,BoVD 49,General,No,none," 1x/rnd, using a quickened spell-like ability is a free action that does not provoke an AoO, see text"
Violate Spell-Like Ability,BoVD 50,General,No,none,Adds the evil descriptor to spell-like ability; half of the ability's damage (if any) is vile
Corrupt Spell,BoVD 47,Metamagic,No,Any evil alignment,Adds the evil descriptor to spell; half of the spell's damage (if any) is unholy. +1 LA
Violate Spell,BoVD 50,Metamagic,No,Any evil alignment,Adds the evil descriptor to spell; half of the spell's damage (if any) is vile
Dark Speech,BoVD 48,Vile,No,"Base Will save +5, Int 15, Cha 15",Can use Dark Speech (see chapter 2)
Disciple of Darkness,BoVD 49,Vile,No,none," +1 luck bonus on any one die roll while performing an evil act, 1x/day"
Evil Brand,BoVD 49,Vile,No,none, +2 circumstance bonus on Diplomacy and Intimidate checks made against evil creatures
Lichloved,BoVD 49,Vile,No,Evil Brand," +1 circumstance bonus on saving throws against mind-affecting effects, poison, sleep, paralysis, stunning, and disease"
Sacrificial Mastery,BoVD 50,Vile,No,Wis 15, +4 profane bonus on Knowledge (religion) checks made when performing a sacrifice
Thrall to Demon,BoVD 50,Vile,No,none," +1 luck bonus on any one die roll while performing an evil act, 1x/day"
Verminfriend,BoVD 50,Vile,No,Cha 15,Make CHA check (DC 20) to prevent an attacking vermin from attacking for 24 hours
Vile Ki Strike,BoVD 50,Vile,No,"Cha 15, Improved Unarmed Strike","When doing damage with unarmed strike, deal 1 additional point of vile damage"
Vile Martial Strike,BoVD 50,Vile,No,"Cha 15, Weapon Focus","When doing damage with WF weapon, deal 1 additional point of vile damage"
Vile Natural Attack,BoVD 50,Vile,No,"Base attack bonus +5, natural attack that deals at least 1d8 damage","When doing damage with natural attack, deal 1 additional point of vile damage"
Willing Deformity,BoVD 50,Vile,No,none,Gain a +2 deformity bonus on Intimidate checks
Deformity (clawed hands),BoVD 48,Vile,No,Willing Deformity,gain 1d6 unarmed claw attack. The character is considered armed even when unarmed.
Deformity (eyes),BoVD 48,Vile,No,Willing Deformity,"As a supernatural ability, the character can use see invisibility for 1 minute per day"
Deformity (face),BoVD 48,Vile,No,Willing Deformity, +2 circumstance bonus on Intimidate checks and a +2 deformity bonus on Diplomacy checks dealing with evil creatures of a different type
Deformity (gaunt),BoVD 48,Vile,No,Willing Deformity,"Gains +2 deformity bonus to DEX, a –2 deformity penalty to CON, and a +2 circumstance bonus on Escape Artist checks and Intimidate checks"
Deformity (obese),BoVD 48,Vile,No,Willing Deformity,"Gains a +2 deformity bonus to CON, a –2 deformity penalty to DEX, and a +2 circumstance bonus on Intimidate checks and saving throws against poison"
Efficient Defender,City 60,General,Fighter,Heavy armor proficiency," +1 AC in light or medium armor, -1 armor check penalty"
Extra Contacts,City 61,General,No,Cha 11,Increase your maximum number of contacts by 4
Favored,City 61,General,No,"Membership in guild, organization, or church","You gain benefits to organization-related skills, as well as organization-specific advantages"
Primary Contact,City 61,General,No,Favored,"Gain +1 bonus on one skill, and double the frequency of favors with one contact"
Special Dispensation,City 63,General,No,Favored,You can carry and wear items banned by the local authorities
Strong Stomach,City 64,General,No,"Con 13, Endurance",Reduce nauseated and sickened conditions by one step
Swift Tumbler,City 64,General,No,Tumble 7 ranks,Tumble at (1/2 speed + 10) feet
Urban Tracking,City 64,General,No,none,Use Gather Information to track down missing or wanted persons
City Magic,City 59,Metamagic,No,Caster level 3rd,"Only half damage from energy-based spells comes from energy as normal, the remainder is from the city"
Deceptive Spell,City 60,Metamagic,No,none,Spell appears to come from direction you choose
Invisible Spell,City 61,Metamagic,No,Any metamagic feat,Make spell effects invisible
Sculpt Spell,City 63,Metamagic,No,Any metamagic feat,Alter spell's area
Roofwalker,City 63,Tactical,No,"Balance 5 ranks, Jump 5 ranks, Dodge, Mobility","Gain move, skill, and AC bonuses on rooftops"
Roof-Jumper,City 62,Tactical,No,"Balance 7 ranks, Jump 7 ranks, Dodge, Mobility, Roofwalker",Gain attack and move bonuses when jumping downward
Appraise Magic Value,CAdv 103,General,No,"Appraise 5 ranks, Knowledge (arcana) 5 ranks, Spellcraft 5 ranks",Use Appraise to determine magic item properties
Ascetic Hunter,CAdv 105,General,No,"Improved Unarmed Strike, favored enemy","Monk and ranger levels stack for unarmed strike damage, favored enemy bonus improves stunning DC"
Ascetic Knight,CAdv 105,General,No,"Improved Unarmed Strike, smite evil",Monk and paladin levels stack for unarmed strike and smite evil damage
Ascetic Mage,CAdv 105,General,No,"Improved Unarmed Strike, spontaneous 2nd-level arcane spells","Monk and sorcerer levels stack for AC bonus (Cha-based), sacrifice spell to gain bonus on unarmed strike"
Ascetic Rogue,CAdv 106,General,No,"Improved Unarmed Strike, sneak attack","Monk and rogue levels stack for sneak attack damage, unarmed strike sneak attack gains improved stunning DC"
Brachiation,CAdv 106,General,No,"Climb 4 ranks, Jump 4 ranks",Swing through trees at normal land speed
Brutal Throw,CAdv 106,General,Fighter,none,Use Str rather than Dex to attack rolls with thrown weapons
Power Throw,CAdv 111,General,Fighter,"Str 13, Brutal Throw, Power Attack",Power Attack with thrown weapons
Combat Intuition,CAdv 106,General,Fighter,"Sense Motive 4 ranks, base attack bonus +5", +1 to attack opponent you engaged in the preceding round
Danger Sense,CAdv 106,General,No,Improved Initiative,Reroll initiative once per day
Death Blow,CAdv 106,General,No,"Improved Initiative, base attack bonus +2",Coup de grace as a standard action
Deft Opportunist,CAdv 106,General,No,"Dex 15, Combat Reflexes", +4 bonus on attack rolls on attacks of opportunity
Deft Strike,CAdv 106,General,No,"Int 13, Spot 10 ranks, Combat Expertise, sneak attack",Ignore armor and natural armor
Devoted Inquisitor,CAdv 107,General,No,"Smite evil, sneak attack",Use smite evil and sneak attack together to daze a foe
Devoted Performer,CAdv 107,General,No,"Bardic music, smite evil",Paladin and bard levels stack for smite evil and bardic music
Devoted Tracker,CAdv 108,General,No,"Track, smite evil, wild empathy","Special mount becomes animal companion, and paladin and ranger levels stack for smite evil and wild empathy"
Disguise Spell,CAdv 108,General,No,"Perform 9 ranks, bardic music",Cast spells unobtrusively as part of a performance
Dive for Cover,CAdv 108,General,No,Base Reflex save +4,"Make one retry on failed Reflex save, but end up prone"
Dual Strike,CAdv 108,General,Fighter,"Improved Two-Weapon Fighting, Two-Weapon Fighting",Attack once with each hand as a standard action
Expert Tactician,CAdv 109,General,No,"Dex 13, Combat Reflexes, base attack bonus +2",All allies gain +2 attack and damage bonus for a round against a target you’ve hit with an attack of opportunity
Extra Music,CAdv 109,General,No,Bardic music,Gain four extra uses per day of bardic music
Extraordinary Concentration,CAdv 109,General,No,Concentration 15 ranks,Concentrate on a spell as a move action or swift action
Extraordinary Spell Aim,CAdv 109,General,No,Spellcraft 15 ranks,Exclude one creature from spell area
Force of Personality,CAdv 109,General,No,Cha 13,"Add Cha modifier, rather than Wis modifier, to Will saves"
Goad,CAdv 109,General,Fighter,"Cha 13, base attack bonus +1",Cause target to attack only you
Green Ear,CAdv 110,General,No,"Perform 10 ranks, bardic music",Affect plants with your bardic music ability
Hear the Unseen,CAdv 110,General,No,"Listen 5 ranks, Blind-Fight","Pinpoint a target’s location by sound, not sight"
Improved Diversion,CAdv 110,General,Fighter,Bluff 4 ranks,"Use Bluff to create a diversion, then Hide as a move action"
Improved Flight,CAdv 110,General,No,Ability to fly,Flight maneuverability improves by one step
Improved Swimming,CAdv 110,General,No,Swim 6 ranks,Double your swimming speed
Insightful Reflexes,CAdv 110,General,No,none,"Add Int modifier, rather than Dex modifier, to Reflex saves"
Jack of All Trades,CAdv 110,General,No,Int 13,"Use any skill, even “Trained Only” ones"
Leap Attack,CAdv 110,General,No,"Jump 8 ranks, Power Attack",*Doubles damage by Power Attack on successful charge
Lingering Song,CAdv 111,General,No,Bardic music,Extend the duration of your bardic music effects
Mobile Spellcasting,CAdv 111,General,No,Concentration 8 ranks,Cast a spell and move at the same time
Natural Bond,CAdv 111,General,No,Animal companion,*Add +3 to effective druid level when determining animal companion’s abilities
Obscure Lore,CAdv 111,General,No,Bardic music or lore,Gain +4 bonus on bardic knowledge or lore checks
Open Minded,CAdv 111,General,No,none,Immediately gain 5 skill points
Oversized Two-Weapon Fighting,CAdv 111,General,Fighter,"Str 13, Two-Weapon Fighting",Treat one-handed weapon in off hand as if light weapon
Quick Reconnoiter,CAdv 112,General,No,"Listen 5 ranks, Spot 5 ranks","Spot and Listen as free actions, +2 on initiative checks"
Razing Strike,CAdv 112,General,No,"Ability to cast 3rd-level arcane or divine spells, sneak attack",Spend a spell use to gain attack and damage bonuses against constructs or undead
Staggering Strike,CAdv 112,General,No,"Base attack bonus +6, sneak attack",Limit target to a single action for 1 round
Subsonics,CAdv 112,General,No,"Perform 10 ranks, Bardic music",Produce bardic music effects very softly
Tactile Trapsmith,CAdv 112,General,No,none,"Add Dex modifier, rather than Int modifier, to Search and Disable Device checks"
Versatile Performer,CAdv 112,General,No,Perform 5 ranks,Treat number of Perform skills as if they had ranks equal to your highest Perform rank
Chant of Fortitude,CAdv 113,Bardic Music,No,"Bardic music, Concentration 8 ranks, Perform 8 ranks",Bardic music keeps allies conscious at negative hit points
Ironskin Chant,CAdv 113,Bardic Music,No,"Bardic music, Concentration 12 ranks, Perform 12 ranks",Use bardic music to gain DR 5/—
Lyric Spell,CAdv 113,Bardic Music,No,"Bardic music, arcane spellcaster level 6th, Perform 9 ranks",Spend bardic music uses to cast extra spells
Blindsense,CAdv 114,Wild,No,"Wild shape, Listen 4 ranks",Spend wild shape use to gain blindsense 30 ft.
Climb Like an Ape,CAdv 114,Wild,No,Wild shape,Spend wild shape use to gain climb movement mode
Cougar’s Vision,CAdv 114,Wild,No,"Wild shape, Spot 2 ranks",Spend wild shape use to gain low-light vision
Hawk’s Vision,CAdv 114,Wild,No,"Wild shape, Spot 4 ranks",Spend wild shape use to gain +8 to Spot checks and cut range increment penalties in half
Savage Grapple,CAdv 114,Wild,No,"Wild shape, sneak attack",Deal sneak attack damage when grappling in wild shape
Scent,CAdv 114,Wild,No,Wild shape,Spend wild shape use to gain scent
Arcane Defense,CArc 73,General,No,Spell Focus in specific school, +3 bonus on saves against specific school of magic
Arcane Mastery,CArc 73,General,No,"Ability to cast arcane spells, use invocations, or use spell-like abilities",*Take 10 on caster level checks
Arcane Preparation,CArc 73,General,No,Ability to cast arcane spells without preparation,Prepare arcane spells ahead of time for faster metamagic casting
Battle Caster,CArc 75,General,No,Ability to ignore arcane spell failure chance from armor,Ignore arcane spell failure chance from heavier armor
Communicator,CArc 76,General,No,none,"Use arcane mark, message, comprehend languages as spell-like abilities 1/day"
Double Wand Wielder,CArc 77,General,No,"Craft Wand, Two-Weapon Fighting",Activate second wand by expending 2 additional charges
Extra Edge,CArc 79,General,No,Warmage level 4th," +1 bonus to warmage edge ability, plus 1/4 warmage levels"
Extra Invocation,CArc 79,General,No,Ability to use lesser invocations,Learn an additional invocation of one grade less than current highest grade
Extra Slot,CArc 79,General,No,Caster level 4th,Gain an extra spell slot up to one level lower than current highest level
Extra Spell,CArc 79,General,No,Caster level 3rd,Learn an additional spell up to one level lower than current highest level
Extra Spell Secret,CArc 80,General,No,"Spell secret class ability, ability to cast 2nd level spells","Permanently Enlarge, Extend, Still, or Silence one spell"
Guardian Spirit,CArc 80,General,No,Watchful spirit class ability,"Reroll initiative two times per day, reroll any save 1/day"
Heighten Spell-Like Ability,CArc 80,General,No,Spell-like ability at caster level 6th or higher,Use spell-like ability at higher level up to 3/day
Innate Spell,CArc 80,General,No,"Quicken Spell, Silent Spell, Still Spell",Use spell as a spell-like ability once per round
Insightful,CArc 80,General,No,none,"Use detect magic, detect secret doors, read magic as spell-like abilities 1/day"
Mage Slayer,CArc 81,General,No,"Spellcraft 2 ranks, base attack bonus +3", +1 bonus on Will saves; spellcasters you threaten can’t cast defensively 
Maximize Spell-Like Ability,CArc 81,General,No,Spell-like ability at caster level 6th or higher,Maximize spell-like ability’s variable numeric effects up to 3/day 
Necropolis Born,CArc 81,General,No,none,"Use cause fear, ghost sound, touch of fatigue as spell-like abilities 1/day"
Night Haunt,CArc 81,General,No,none,"Use dancing lights, prestidigitation, unseen servant as spell-like abilities 1/day"
Obtain Familiar,CArc 81,General,No,"Knowledge (arcana) 4 ranks, arcane caster level 3rd",Obtain a familiar in the same manner as a sorcerer or wizard
Pierce Magical Concealment,CArc 81,General,No,"Con 13, Blind-Fight, Mage Slayer",Ignore spell-based concealment of creatures you attack
Pierce Magical Protection,CArc 82,General,No,"Con 13, Mage Slayer",Ignore spell-based bonuses to Armor Class
Practiced Spellcaster,CArc 82,General,No,Spellcraft 4 ranks,Increase caster level by +4
Ranged Spell Specialization,CArc 82,General,No,"Weapon Focus (ranged spell), caster level 4th", +2 bonus on damage rolls with ranged spells
Reckless Wand Wielder,CArc 82,General,No,"Craft Wand, Use Magic Device 1 rank",Increase wand’s caster level by expending an additional charge
Soul of The North,CArc 83,General,No,none,"Use chill touch, ray of frost, resistance as spell-like abilities 1/day"
Spell Hand,CArc 83,General,No,none,"Use mage hand, open/close, Tenser’s floating disk as spell-like abilities 1/day"
Touch Spell Specialization,CArc 83,General,No,"Weapon Focus (touch spell), caster level 4th", +2 bonus on damage rolls with touch spells
Wandstrike,CArc 84,General,No,Use Magic Device 4 ranks,Make touch attack with wand to deal 1d6 damage and target creature with spell
Draconic Breath,CArc 77,Draconic,No,Draconic Heritage,Convert spell energy into a breath weapon
Draconic Claw,CArc 77,Draconic,No,Draconic Heritage,Gain claws and make a swift claw attack when you cast a spell
Draconic Flight,CArc 77,Draconic,No,Draconic Heritage,"After casting a spell, fly for the rest of the round"
Draconic Heritage,CArc 77,Draconic,No,Sorcerer level 1st,Gain draconic class skill and a bonus on saves against sleep and paralysis
Draconic Legacy,CArc 78,Draconic,No,Any four draconic feats,Add spells to your spells known
Draconic Power,CArc 78,Draconic,No,Draconic Heritage, +1 caster level and DC for spells of the energy type matching your Draconic Heritage
Draconic Presence,CArc 78,Draconic,No,Draconic Heritage,Strike fear into lower-level opponents when you cast a spell
Draconic Resistance,CArc 78,Draconic,No,Draconic Heritage,Gain resistance to energy of the type of your Draconic Heritage
Draconic Skin,CArc 78,Draconic,No,Draconic Heritage,Natural armor increases by 1
Craft Contingent Spell,CArc 77,Item Creation,No,Caster level 11th,Attach semipermanent spells to a creature and set activation conditions
Black Lore of Moil,CArc 75,Metamagic,No,"Spell Focus (necromancy), caster level 7th",Add extra negative energy damage to necromancy spells
Born of the Three Thunders,CArc 76,Metamagic,No,"Energy Substitution (electricity), Knowledge (nature) 4 ranks",Sonic or electricity spells deal both types of damage
Chain Spell,CArc 76,Metamagic,No,Any metamagic feat,Redirect spells to affect secondary targets
Cooperative Spell,CArc 76,Metamagic,No,Any metamagic feat,Bonus to save DC and on caster level checks of spells cast in conjunction with other casters
Delay Spell,CArc 77,Metamagic,No,Any metamagic feat,Spell effects are delayed 1–5 rounds
Energy Admixture,CArc 78,Metamagic,No,Energy Substitution,Double energy spell damage by adding an additional energy type
Energy Substitution,CArc 79,Metamagic,No,"Any other metamagic feat, Knowledge (arcana) 5 ranks",Energy spells can deal different energy damage
Explosive Spell,CArc 79,Metamagic,No,none,Creatures are blasted to edge of spell area
Fortify Spell,CArc 80,Metamagic,No,none,Cast spells at high caster level to overcome spell resistance
Lord of the Uttercold,CArc 80,Metamagic,No,"Energy Substitution (cold), Knowledge (the planes) 9 ranks, ability to cast a spell with the cold descriptor",Cold spells deal half negative energy damage
Nonlethal Substitution,CArc 81,Metamagic,No,"Any other metamagic feat, Knowledge (arcana) 5 ranks",Energy spells deal nonlethal damage
Persistent Spell,CArc 81,Metamagic,No,Extend Spell,Fixed or personal range spells last 24 hours
Repeat Spell,CArc 82,Metamagic,No,Any metamagic feat,Spell is automatically cast again next round
Sanctum Spell,CArc 82,Metamagic,No,Any metamagic feat,"Spell’s effective level is increased while in special location, decreased outside special location"
Sculpt Spell,CArc 83,Metamagic,No,Any metamagic feat,Alter spell’s area
Split Ray,CArc 83,Metamagic,No,Any metamagic feat,Ray spells affect one additional target
Sudden Empower,CArc 83,Metamagic,No,Any metamagic feat,Increase spell’s variable numeric effects by 50% without special preparation 1/day
Sudden Extend,CArc 83,Metamagic,No,none,Double spell’s duration without special preparation 1/day
Sudden Maximize,CArc 83,Metamagic,No,Any metamagic feat,Maximize spell’s variable numeric effects without special preparation 1/day
Sudden Quicken,CArc 83,Metamagic,No,"Quicken Spell, Sudden Empower, Sudden Extend, Sudden Maximize, Sudden Silent, Sudden Still",Cast spells as a swift action without special preparation 1/day
Sudden Silent,CArc 83,Metamagic,No,none,Cast spells without verbal components without special preparation 1/day
Sudden Still,CArc 83,Metamagic,No,none,Cast spells without somatic components without special preparation 1/day
Sudden Widen,CArc 83,Metamagic,No,none,Increase spell’s numeric measurements by 50% without special preparation 1/day
Transdimensional Spell,CArc 84,Metamagic,No,none,Spells affect creatures in coexistent planes and extradimensional spaces
Twin Spell,CArc 84,Metamagic,No,Any metamagic feat,Simultaneously cast a single spell twice
Battle Blessing,CCha 55,General,No,Ability to cast paladin spells,Cast paladin spells more quickly
Spontaneous Domains,CCha 62,General,No,Ability to cast 3rd-level spells; access to two or more domains,Leave your domain spell slots open to be filled at need
Swift Call,CCha 62,General,No,Special mount class feature,Call special mount as a swift action
Retrieve Spell,CCha 62,Divine,No,"Any two divine feats, ability to turn or rebuke undead",Spend turn/rebuke attempts to regain a previously cast spell
Spiritual Counter,CCha 62,Divine,No,"Any other divine feat, ability to turn or rebuke undead",Spend turn/rebuke attempts to counterspell
Air Devotion,CCha 54,Domain,No,none,Gain bonus to AC; ranged attacks have a 50% miss chance against you
Animal Devotion,CCha 54,Domain,No,none,Gain bonuses based on animal influence chosen
Chaos Devotion,CCha 56,Domain,No,none,Gain bonus on attack rolls or to AC (randomly determined) for 1 minute
Death Devotion,CCha 57,Domain,No,none,Cause one weapon to bestow negative levels
Destruction Devotion,CCha 57,Domain,No,none,Reduce enemy’s armor or natural armor bonus for 1 minute
Earth Devotion,CCha 58,Domain,No,none,Move freely through diffi cult terrain or create difficult terrain
Evil Devotion,CCha 58,Domain,No,none,Grant yourself and allies within 30 feet DR/good for 1 minute
Fire Devotion,CCha 58,Domain,No,none,"Appear to be on fire, deal extra fire damage with melee attacks"
Good Devotion,CCha 58,Domain,No,none,Grant yourself and allies within 30 feet DR/evil for 1 minute
Healing Devotion,CCha 59,Domain,No,none,Gain or grant fast healing for 1 minute
Knowledge Devotion,CCha 60,Domain,No,none,Gain bonuses on attack rolls and damage rolls against specific creature types based on your knowledge of them
Law Devotion,CCha 61,Domain,No,none,Gain bonus on attack rolls or to AC until your next action
Luck Devotion,CCha 61,Domain,No,none,Improve damage roll to average result
Magic Devotion,CCha 61,Domain,No,none,Make a ranged touch attack that deals 1d6 damage/two character levels
Plant Devotion,CCha 61,Domain,No,none,Gain +2 bonus to natural armor and fortification effect based on character level
Protection Devotion,CCha 61,Domain,No,none,Create 30-ft.-radius protective aura centered on yourself
Strength Devotion,CCha 62,Domain,No,none,Gain adamantine slam attack and the ability to overcome hardness with melee attacks
Sun Devotion,CCha 62,Domain,No,none,Cause your melee weapon to glow and deal extra sacred/profane damage
Travel Devotion,CCha 62,Domain,No,none,Move your speed as a swift action
Trickery Devotion,CCha 63,Domain,No,none,*Create a simulacrum of yourself that can perform certain actions based on your level
War Devotion,CCha 63,Domain,No,none,Improve your ability to fight defensively
Water Devotion,CCha 64,Domain,No,none,*Summon a water elemental with HD based on your character level
Imbued Healing,CCha 60,General,No,"Ability to cast conjuration (healing) spells, access to one or more domains",Provide beneficial carrier effects with healing spells
Charnel Miasma,CCha 57,Reserve,No,Access to the Death domain,Force enemies to make Will saves or become fearful
Fragile Construct,CCha 58,Reserve,No,Access to the Destruction domain,Reduce object’s hardness or construct’s DR
Holy Warrior,CCha 60,Reserve,No,"Ability to cast 4th-level spells, access to the War domain",Gain bonus on weapon damage rolls
Mitigate Suffering,CCha 61,Reserve,No,Ability to cast 2nd-level spells,Temporarily restore ability damage
Protective Ward,CCha 61,Reserve,No,Access to the Protection domain,Grant bonus to AC to yourself or an ally within 30 ft.
Touch of Healing,CCha 62,Reserve,No,Ability to cast 2nd-level spells,Heal 3 points of damage per level of the highest-level healing spell you have available to cast
Umbral Shroud,CCha 63,Reserve,No,Ability to cast 3rd-level spells,Impose a miss chance on your enemies’ attacks
Awesome Smite,CCha 55,Tactical,No,"Power Attack, base attack bonus +6, smite ability",Gain various maneuvers you can combine with smite attacks
Bestial Charge,CCha 56,Tactical,No,"Base attack bonus +4, wild shape class feature",Gain various maneuvers you can combine with wild shape
Holy Potency,CCha 59,Tactical,No,"Base attack bonus +4, ability to spontaneously cast cure or inflict spells, ability to turn or rebuke undead",Gain various maneuvers to manipulate positive or negative energy
Elemental Essence,CCha 58,Wild,No,"Any other wild feat, wild shape class feature",Deal energy damage with your attacks and gain resistance to that type of energy for 1 minute
